@relation danceability
@attribute POWER numeric
@attribute CAR numeric

@data
354,0.579
36,0.712
898,0.564
363,0.594
37,0.49
654,0.38
411,0.736
383,0.78
37,0.616
387,0.798
441,0.749
772,0.838
530,0.564
38,0.737
37,0.593
37,0.771
38,0.737
962,0.757
393,0.618
43,0.542
354,0.626
831,0.496
36,0.676
36,0.874
446,0.579
37,0.588
971,0.38
460,0.564
443,0.745
456,0.695
407,0.837
361,0.661
404,0.661
356,0.564
934,0.496
898,0.564
801,0.737
133,0.906
354,0.579
37,0.593
366,0.564
355,0.542
493,0.681
548,0.906
398,0.736
394,0.77
37,0.588
523,0.564
38,0.737
463,0.78
441,0.749
354,0.579
463,0.78
36,0.616
37,0.593
408,0.49
523,0.564
530,0.564
37,0.593
407,0.837
435,0.837
38,0.588
133,0.906
37,0.703
706,0.564
38,0.588
971,0.38
37,0.676
37,0.703
37,0.593
40,0.689
962,0.757
953,0.564
367,0.685
37,0.593
363,0.594
36,0.616
435,0.837
706,0.564
1154,0.564
36,0.874
36,0.49
393,0.618
419,0.594
37,0.688
387,0.798
37,0.771
133,0.906
398,0.736
934,0.496
449,0.564
411,0.736
419,0.594
493,0.681
37,0.676
37,0.676
43,0.542
460,0.564
37,0.49
385,0.564
36,0.715
971,0.38
971,0.38
831,0.496
763,0.838
492,0.542
500,0.496
411,0.736
934,0.496
443,0.745
354,0.626
37,0.616
411,0.745
706,0.564
37,0.874
706,0.681
37,0.688
37,0.49
364,0.626
37,0.712
831,0.496
856,0.838
36,0.616
37,0.676
364,0.626
953,0.564
367,0.685
801,0.737
407,0.837
494,0.838
37,0.676
36,0.715
354,0.579
772,0.838
898,0.564
384,0.49
36,0.49
392,0.661
446,0.579
801,0.737
493,0.681
36,0.771
392,0.661
387,0.798
500,0.496
354,0.626
385,0.564
37,0.874
36,0.712
500,0.496
36,0.715
38,0.687
367,0.685
36,0.616
831,0.496
763,0.838
355,0.542
36,0.49
356,0.564
38,0.588
408,0.49
38,0.588
398,0.736
548,0.906
772,0.838
482,0.798
953,0.564
39,0.685
37,0.611
384,0.49
36,0.712
404,0.661
763,0.838
482,0.798
36,0.712
856,0.838
385,0.564
1023,0.542
341,0.735
443,0.745
36,0.593
370,0.685
390,0.635
706,0.681
367,0.685
435,0.837
449,0.564
38,0.687
36,0.593
772,0.838
411,0.745
390,0.635
647,0.49
404,0.661
647,0.49
355,0.542
38,0.737
370,0.685
492,0.542
38,0.687
393,0.618
37,0.676
39,0.685
446,0.579
36,0.874
856,0.838
962,0.757
494,0.838
456,0.695
856,0.838
370,0.685
492,0.542
38,0.588
523,0.564
492,0.542
37,0.688
38,0.737
37,0.616
37,0.703
493,0.681
37,0.771
1154,0.564
585,0.737
408,0.49
419,0.594
341,0.735
408,0.49
36,0.874
394,0.77
366,0.564
43,0.542
387,0.798
37,0.688
585,0.737
37,0.688
37,0.874
494,0.838
647,0.49
37,0.874
37,0.593
530,0.564
37,0.676
36,0.771
38,0.588
40,0.689
37,0.588
393,0.618
361,0.661
36,0.676
524,0.837
37,0.676
384,0.49
763,0.838
494,0.838
363,0.594
398,0.736
441,0.749
36,0.593
36,0.616
463,0.78
36,0.715
37,0.688
394,0.77
441,0.749
384,0.49
38,0.737
37,0.588
706,0.564
364,0.626
36,0.676
36,0.771
1023,0.542
36,0.616
36,0.874
460,0.564
647,0.49
706,0.681
411,0.745
36,0.616
482,0.798
524,0.837
370,0.685
38,0.588
523,0.564
37,0.771
133,0.906
36,0.712
456,0.695
341,0.735
356,0.564
404,0.661
356,0.564
1023,0.542
449,0.564
449,0.564
36,0.593
37,0.611
548,0.906
37,0.712
36,0.874
463,0.78
548,0.906
37,0.688
36,0.712
530,0.564
37,0.688
411,0.745
524,0.837
953,0.564
706,0.681
443,0.745
585,0.737
37,0.49
37,0.676
383,0.78
390,0.635
37,0.703
363,0.594
341,0.735
43,0.542
524,0.837
38,0.737
654,0.38
364,0.626
1154,0.564
39,0.685
36,0.712
1023,0.542
392,0.661
37,0.611
435,0.837
37,0.712
383,0.78
38,0.737
40,0.689
36,0.715
419,0.594
37,0.593
361,0.661
898,0.564
482,0.798
500,0.496
801,0.737
36,0.715
36,0.676
36,0.874
40,0.689
383,0.78
446,0.579
366,0.564
36,0.715
654,0.38
366,0.564
37,0.676
654,0.38
355,0.542
407,0.837
394,0.77
36,0.712
361,0.661
36,0.49
962,0.757
36,0.874
460,0.564
392,0.661
37,0.712
456,0.695
385,0.564
354,0.626
411,0.736
37,0.611
39,0.685
38,0.687
36,0.715
37,0.616
37,0.676
37,0.676
36,0.616
36,0.771
585,0.737
38,0.588
390,0.635
934,0.496
1154,0.564
