@relation energy
@attribute POWER numeric
@attribute CAR numeric

@data
354,0.737
36,0.743
898,0.773
363,0.722
37,0.907
654,0.988
411,0.457
383,0.521
37,0.892
387,0.675
441,0.794
772,0.853
530,0.773
38,0.86
37,0.787
37,0.638
38,0.86
962,0.8
393,0.767
43,0.853
354,0.88
831,0.863
36,0.692
36,0.786
446,0.737
37,0.856
971,0.988
460,0.773
443,0.838
456,0.847
407,0.577
361,0.723
404,0.723
356,0.773
934,0.863
898,0.773
801,0.86
133,0.662
354,0.737
37,0.787
366,0.773
355,0.853
493,0.805
548,0.662
398,0.457
394,0.787
37,0.856
523,0.773
38,0.86
463,0.521
441,0.794
354,0.737
463,0.521
36,0.892
37,0.787
408,0.907
523,0.773
530,0.773
37,0.787
407,0.577
435,0.577
38,0.856
133,0.662
37,0.705
706,0.773
38,0.856
971,0.988
37,0.692
37,0.705
37,0.787
40,0.798
962,0.8
953,0.773
367,0.803
37,0.787
363,0.722
36,0.892
435,0.577
706,0.773
1154,0.773
36,0.786
36,0.907
393,0.767
419,0.722
37,0.688
387,0.675
37,0.638
133,0.662
398,0.457
934,0.863
449,0.773
411,0.457
419,0.722
493,0.805
37,0.692
37,0.692
43,0.853
460,0.773
37,0.907
385,0.773
36,0.675
971,0.988
971,0.988
831,0.863
763,0.853
492,0.853
500,0.863
411,0.457
934,0.863
443,0.838
354,0.88
37,0.892
411,0.838
706,0.773
37,0.786
706,0.805
37,0.688
37,0.907
364,0.88
37,0.743
831,0.863
856,0.853
36,0.892
37,0.692
364,0.88
953,0.773
367,0.803
801,0.86
407,0.577
494,0.853
37,0.692
36,0.675
354,0.737
772,0.853
898,0.773
384,0.907
36,0.907
392,0.723
446,0.737
801,0.86
493,0.805
36,0.638
392,0.723
387,0.675
500,0.863
354,0.88
385,0.773
37,0.786
36,0.743
500,0.863
36,0.675
38,0.792
367,0.803
36,0.892
831,0.863
763,0.853
355,0.853
36,0.907
356,0.773
38,0.856
408,0.907
38,0.856
398,0.457
548,0.662
772,0.853
482,0.675
953,0.773
39,0.803
37,0.771
384,0.907
36,0.743
404,0.723
763,0.853
482,0.675
36,0.743
856,0.853
385,0.773
1023,0.853
341,0.482
443,0.838
36,0.787
370,0.803
390,0.9
706,0.805
367,0.803
435,0.577
449,0.773
38,0.792
36,0.787
772,0.853
411,0.838
390,0.9
647,0.907
404,0.723
647,0.907
355,0.853
38,0.86
370,0.803
492,0.853
38,0.792
393,0.767
37,0.692
39,0.803
446,0.737
36,0.786
856,0.853
962,0.8
494,0.853
456,0.847
856,0.853
370,0.803
492,0.853
38,0.856
523,0.773
492,0.853
37,0.688
38,0.86
37,0.892
37,0.705
493,0.805
37,0.638
1154,0.773
585,0.86
408,0.907
419,0.722
341,0.482
408,0.907
36,0.786
394,0.787
366,0.773
43,0.853
387,0.675
37,0.688
585,0.86
37,0.688
37,0.786
494,0.853
647,0.907
37,0.786
37,0.787
530,0.773
37,0.692
36,0.638
38,0.856
40,0.798
37,0.856
393,0.767
361,0.723
36,0.692
524,0.577
37,0.692
384,0.907
763,0.853
494,0.853
363,0.722
398,0.457
441,0.794
36,0.787
36,0.892
463,0.521
36,0.675
37,0.688
394,0.787
441,0.794
384,0.907
38,0.86
37,0.856
706,0.773
364,0.88
36,0.692
36,0.638
1023,0.853
36,0.892
36,0.786
460,0.773
647,0.907
706,0.805
411,0.838
36,0.892
482,0.675
524,0.577
370,0.803
38,0.856
523,0.773
37,0.638
133,0.662
36,0.743
456,0.847
341,0.482
356,0.773
404,0.723
356,0.773
1023,0.853
449,0.773
449,0.773
36,0.787
37,0.771
548,0.662
37,0.743
36,0.786
463,0.521
548,0.662
37,0.688
36,0.743
530,0.773
37,0.688
411,0.838
524,0.577
953,0.773
706,0.805
443,0.838
585,0.86
37,0.907
37,0.692
383,0.521
390,0.9
37,0.705
363,0.722
341,0.482
43,0.853
524,0.577
38,0.86
654,0.988
364,0.88
1154,0.773
39,0.803
36,0.743
1023,0.853
392,0.723
37,0.771
435,0.577
37,0.743
383,0.521
38,0.86
40,0.798
36,0.675
419,0.722
37,0.787
361,0.723
898,0.773
482,0.675
500,0.863
801,0.86
36,0.675
36,0.692
36,0.786
40,0.798
383,0.521
446,0.737
366,0.773
36,0.675
654,0.988
366,0.773
37,0.692
654,0.988
355,0.853
407,0.577
394,0.787
36,0.743
361,0.723
36,0.907
962,0.8
36,0.786
460,0.773
392,0.723
37,0.743
456,0.847
385,0.773
354,0.88
411,0.457
37,0.771
39,0.803
38,0.792
36,0.675
37,0.892
37,0.692
37,0.692
36,0.892
36,0.638
585,0.86
38,0.856
390,0.9
934,0.863
1154,0.773
