@relation loudness
@attribute POWER numeric
@attribute CAR numeric

@data
354,-4.339
36,-3.462
898,-5.247
363,-5.751
37,-4.063
654,-2.042
411,-11.295
383,-5.094
37,-4.688
387,-5.041
441,-5.063
772,-5.126
530,-5.247
38,-2.652
37,-3.67
37,-5.342
38,-2.652
962,-6.661
393,-5.024
43,-6.407
354,-2.384
831,-4.153
36,-6.683
36,-5.723
446,-4.339
37,-4.023
971,-2.042
460,-5.247
443,-2.881
456,-3.862
407,-5.854
361,-6.976
404,-6.976
356,-5.247
934,-4.153
898,-5.247
801,-2.652
133,-6.707
354,-4.339
37,-3.67
366,-5.247
355,-6.407
493,-5.874
548,-6.707
398,-11.295
394,-4.402
37,-4.023
523,-5.247
38,-2.652
463,-5.094
441,-5.063
354,-4.339
463,-5.094
36,-4.688
37,-3.67
408,-4.063
523,-5.247
530,-5.247
37,-3.67
407,-5.854
435,-5.854
38,-4.023
133,-6.707
37,-6.922
706,-5.247
38,-4.023
971,-2.042
37,-6.683
37,-6.922
37,-3.67
40,-2.674
962,-6.661
953,-5.247
367,-4.251
37,-3.67
363,-5.751
36,-4.688
435,-5.854
706,-5.247
1154,-5.247
36,-5.723
36,-4.063
393,-5.024
419,-5.751
37,-5.84
387,-5.041
37,-5.342
133,-6.707
398,-11.295
934,-4.153
449,-5.247
411,-11.295
419,-5.751
493,-5.874
37,-6.683
37,-6.683
43,-6.407
460,-5.247
37,-4.063
385,-5.247
36,-7.657
971,-2.042
971,-2.042
831,-4.153
763,-5.126
492,-6.407
500,-4.153
411,-11.295
934,-4.153
443,-2.881
354,-2.384
37,-4.688
411,-2.881
706,-5.247
37,-5.723
706,-5.874
37,-5.84
37,-4.063
364,-2.384
37,-3.462
831,-4.153
856,-5.126
36,-4.688
37,-6.683
364,-2.384
953,-5.247
367,-4.251
801,-2.652
407,-5.854
494,-5.126
37,-6.683
36,-7.657
354,-4.339
772,-5.126
898,-5.247
384,-4.063
36,-4.063
392,-6.976
446,-4.339
801,-2.652
493,-5.874
36,-5.342
392,-6.976
387,-5.041
500,-4.153
354,-2.384
385,-5.247
37,-5.723
36,-3.462
500,-4.153
36,-7.657
38,-2.749
367,-4.251
36,-4.688
831,-4.153
763,-5.126
355,-6.407
36,-4.063
356,-5.247
38,-4.023
408,-4.063
38,-4.023
398,-11.295
548,-6.707
772,-5.126
482,-5.041
953,-5.247
39,-4.251
37,-7.485
384,-4.063
36,-3.462
404,-6.976
763,-5.126
482,-5.041
36,-3.462
856,-5.126
385,-5.247
1023,-6.407
341,-9.445
443,-2.881
36,-3.67
370,-4.251
390,-3.719
706,-5.874
367,-4.251
435,-5.854
449,-5.247
38,-2.749
36,-3.67
772,-5.126
411,-2.881
390,-3.719
647,-4.063
404,-6.976
647,-4.063
355,-6.407
38,-2.652
370,-4.251
492,-6.407
38,-2.749
393,-5.024
37,-6.683
39,-4.251
446,-4.339
36,-5.723
856,-5.126
962,-6.661
494,-5.126
456,-3.862
856,-5.126
370,-4.251
492,-6.407
38,-4.023
523,-5.247
492,-6.407
37,-5.84
38,-2.652
37,-4.688
37,-6.922
493,-5.874
37,-5.342
1154,-5.247
585,-2.652
408,-4.063
419,-5.751
341,-9.445
408,-4.063
36,-5.723
394,-4.402
366,-5.247
43,-6.407
387,-5.041
37,-5.84
585,-2.652
37,-5.84
37,-5.723
494,-5.126
647,-4.063
37,-5.723
37,-3.67
530,-5.247
37,-6.683
36,-5.342
38,-4.023
40,-2.674
37,-4.023
393,-5.024
361,-6.976
36,-6.683
524,-5.854
37,-6.683
384,-4.063
763,-5.126
494,-5.126
363,-5.751
398,-11.295
441,-5.063
36,-3.67
36,-4.688
463,-5.094
36,-7.657
37,-5.84
394,-4.402
441,-5.063
384,-4.063
38,-2.652
37,-4.023
706,-5.247
364,-2.384
36,-6.683
36,-5.342
1023,-6.407
36,-4.688
36,-5.723
460,-5.247
647,-4.063
706,-5.874
411,-2.881
36,-4.688
482,-5.041
524,-5.854
370,-4.251
38,-4.023
523,-5.247
37,-5.342
133,-6.707
36,-3.462
456,-3.862
341,-9.445
356,-5.247
404,-6.976
356,-5.247
1023,-6.407
449,-5.247
449,-5.247
36,-3.67
37,-7.485
548,-6.707
37,-3.462
36,-5.723
463,-5.094
548,-6.707
37,-5.84
36,-3.462
530,-5.247
37,-5.84
411,-2.881
524,-5.854
953,-5.247
706,-5.874
443,-2.881
585,-2.652
37,-4.063
37,-6.683
383,-5.094
390,-3.719
37,-6.922
363,-5.751
341,-9.445
43,-6.407
524,-5.854
38,-2.652
654,-2.042
364,-2.384
1154,-5.247
39,-4.251
36,-3.462
1023,-6.407
392,-6.976
37,-7.485
435,-5.854
37,-3.462
383,-5.094
38,-2.652
40,-2.674
36,-7.657
419,-5.751
37,-3.67
361,-6.976
898,-5.247
482,-5.041
500,-4.153
801,-2.652
36,-7.657
36,-6.683
36,-5.723
40,-2.674
383,-5.094
446,-4.339
366,-5.247
36,-7.657
654,-2.042
366,-5.247
37,-6.683
654,-2.042
355,-6.407
407,-5.854
394,-4.402
36,-3.462
361,-6.976
36,-4.063
962,-6.661
36,-5.723
460,-5.247
392,-6.976
37,-3.462
456,-3.862
385,-5.247
354,-2.384
411,-11.295
37,-7.485
39,-4.251
38,-2.749
36,-7.657
37,-4.688
37,-6.683
37,-6.683
36,-4.688
36,-5.342
585,-2.652
38,-4.023
390,-3.719
934,-4.153
1154,-5.247
