@relation speechiness
@attribute POWER numeric
@attribute CAR numeric

@data
354,0.0481
36,0.0627
898,0.251
363,0.0398
37,0.108
654,0.0639
411,0.107
383,0.123
37,0.0462
387,0.0442
441,0.064
772,0.283
530,0.251
38,0.0593
37,0.34
37,0.0622
38,0.0593
962,0.22
393,0.0489
43,0.0498
354,0.0504
831,0.0381
36,0.249
36,0.186
446,0.0481
37,0.0323
971,0.0639
460,0.251
443,0.046
456,0.0507
407,0.168
361,0.0566
404,0.0566
356,0.251
934,0.0381
898,0.251
801,0.0593
133,0.319
354,0.0481
37,0.34
366,0.251
355,0.0498
493,0.257
548,0.319
398,0.107
394,0.113
37,0.0323
523,0.251
38,0.0593
463,0.123
441,0.064
354,0.0481
463,0.123
36,0.0462
37,0.34
408,0.108
523,0.251
530,0.251
37,0.34
407,0.168
435,0.168
38,0.0323
133,0.319
37,0.129
706,0.251
38,0.0323
971,0.0639
37,0.249
37,0.129
37,0.34
40,0.0423
962,0.22
953,0.251
367,0.156
37,0.34
363,0.0398
36,0.0462
435,0.168
706,0.251
1154,0.251
36,0.186
36,0.108
393,0.0489
419,0.0398
37,0.0357
387,0.0442
37,0.0622
133,0.319
398,0.107
934,0.0381
449,0.251
411,0.107
419,0.0398
493,0.257
37,0.249
37,0.249
43,0.0498
460,0.251
37,0.108
385,0.251
36,0.301
971,0.0639
971,0.0639
831,0.0381
763,0.283
492,0.0498
500,0.0381
411,0.107
934,0.0381
443,0.046
354,0.0504
37,0.0462
411,0.046
706,0.251
37,0.186
706,0.257
37,0.0357
37,0.108
364,0.0504
37,0.0627
831,0.0381
856,0.283
36,0.0462
37,0.249
364,0.0504
953,0.251
367,0.156
801,0.0593
407,0.168
494,0.283
37,0.249
36,0.301
354,0.0481
772,0.283
898,0.251
384,0.108
36,0.108
392,0.0566
446,0.0481
801,0.0593
493,0.257
36,0.0622
392,0.0566
387,0.0442
500,0.0381
354,0.0504
385,0.251
37,0.186
36,0.0627
500,0.0381
36,0.301
38,0.0452
367,0.156
36,0.0462
831,0.0381
763,0.283
355,0.0498
36,0.108
356,0.251
38,0.0323
408,0.108
38,0.0323
398,0.107
548,0.319
772,0.283
482,0.0442
953,0.251
39,0.156
37,0.118
384,0.108
36,0.0627
404,0.0566
763,0.283
482,0.0442
36,0.0627
856,0.283
385,0.251
1023,0.0498
341,0.139
443,0.046
36,0.34
370,0.156
390,0.0377
706,0.257
367,0.156
435,0.168
449,0.251
38,0.0452
36,0.34
772,0.283
411,0.046
390,0.0377
647,0.108
404,0.0566
647,0.108
355,0.0498
38,0.0593
370,0.156
492,0.0498
38,0.0452
393,0.0489
37,0.249
39,0.156
446,0.0481
36,0.186
856,0.283
962,0.22
494,0.283
456,0.0507
856,0.283
370,0.156
492,0.0498
38,0.0323
523,0.251
492,0.0498
37,0.0357
38,0.0593
37,0.0462
37,0.129
493,0.257
37,0.0622
1154,0.251
585,0.0593
408,0.108
419,0.0398
341,0.139
408,0.108
36,0.186
394,0.113
366,0.251
43,0.0498
387,0.0442
37,0.0357
585,0.0593
37,0.0357
37,0.186
494,0.283
647,0.108
37,0.186
37,0.34
530,0.251
37,0.249
36,0.0622
38,0.0323
40,0.0423
37,0.0323
393,0.0489
361,0.0566
36,0.249
524,0.168
37,0.249
384,0.108
763,0.283
494,0.283
363,0.0398
398,0.107
441,0.064
36,0.34
36,0.0462
463,0.123
36,0.301
37,0.0357
394,0.113
441,0.064
384,0.108
38,0.0593
37,0.0323
706,0.251
364,0.0504
36,0.249
36,0.0622
1023,0.0498
36,0.0462
36,0.186
460,0.251
647,0.108
706,0.257
411,0.046
36,0.0462
482,0.0442
524,0.168
370,0.156
38,0.0323
523,0.251
37,0.0622
133,0.319
36,0.0627
456,0.0507
341,0.139
356,0.251
404,0.0566
356,0.251
1023,0.0498
449,0.251
449,0.251
36,0.34
37,0.118
548,0.319
37,0.0627
36,0.186
463,0.123
548,0.319
37,0.0357
36,0.0627
530,0.251
37,0.0357
411,0.046
524,0.168
953,0.251
706,0.257
443,0.046
585,0.0593
37,0.108
37,0.249
383,0.123
390,0.0377
37,0.129
363,0.0398
341,0.139
43,0.0498
524,0.168
38,0.0593
654,0.0639
364,0.0504
1154,0.251
39,0.156
36,0.0627
1023,0.0498
392,0.0566
37,0.118
435,0.168
37,0.0627
383,0.123
38,0.0593
40,0.0423
36,0.301
419,0.0398
37,0.34
361,0.0566
898,0.251
482,0.0442
500,0.0381
801,0.0593
36,0.301
36,0.249
36,0.186
40,0.0423
383,0.123
446,0.0481
366,0.251
36,0.301
654,0.0639
366,0.251
37,0.249
654,0.0639
355,0.0498
407,0.168
394,0.113
36,0.0627
361,0.0566
36,0.108
962,0.22
36,0.186
460,0.251
392,0.0566
37,0.0627
456,0.0507
385,0.251
354,0.0504
411,0.107
37,0.118
39,0.156
38,0.0452
36,0.301
37,0.0462
37,0.249
37,0.249
36,0.0462
36,0.0622
585,0.0593
38,0.0323
390,0.0377
934,0.0381
1154,0.251
