@relation tempo
@attribute POWER numeric
@attribute CAR numeric

@data
354,128.062
36,104.008
898,171.529
363,127.877
37,132.057
654,186.113
411,182.068
383,160.087
37,129.991
387,101.956
441,135.959
772,119.939
530,171.529
38,93.989
37,191.772
37,124.039
38,93.989
962,114.923
393,124.071
43,105.256
354,95.079
831,110.018
36,125.966
36,108.944
446,128.062
37,127.963
971,186.113
460,171.529
443,127.998
456,129.899
407,109.904
361,113.778
404,113.778
356,171.529
934,110.018
898,171.529
801,93.989
133,100.035
354,128.062
37,191.772
366,171.529
355,105.256
493,119.81
548,100.035
398,182.068
394,125.013
37,127.963
523,171.529
38,93.989
463,160.087
441,135.959
354,128.062
463,160.087
36,129.991
37,191.772
408,132.057
523,171.529
530,171.529
37,191.772
407,109.904
435,109.904
38,127.963
133,100.035
37,90.005
706,171.529
38,127.963
971,186.113
37,125.966
37,90.005
37,191.772
40,100.029
962,114.923
953,171.529
367,107.005
37,191.772
363,127.877
36,129.991
435,109.904
706,171.529
1154,171.529
36,108.944
36,132.057
393,124.071
419,127.877
37,114.011
387,101.956
37,124.039
133,100.035
398,182.068
934,110.018
449,171.529
411,182.068
419,127.877
493,119.81
37,125.966
37,125.966
43,105.256
460,171.529
37,132.057
385,171.529
36,122.224
971,186.113
971,186.113
831,110.018
763,119.939
492,105.256
500,110.018
411,182.068
934,110.018
443,127.998
354,95.079
37,129.991
411,127.998
706,171.529
37,108.944
706,119.81
37,114.011
37,132.057
364,95.079
37,104.008
831,110.018
856,119.939
36,129.991
37,125.966
364,95.079
953,171.529
367,107.005
801,93.989
407,109.904
494,119.939
37,125.966
36,122.224
354,128.062
772,119.939
898,171.529
384,132.057
36,132.057
392,113.778
446,128.062
801,93.989
493,119.81
36,124.039
392,113.778
387,101.956
500,110.018
354,95.079
385,171.529
37,108.944
36,104.008
500,110.018
36,122.224
38,100.015
367,107.005
36,129.991
831,110.018
763,119.939
355,105.256
36,132.057
356,171.529
38,127.963
408,132.057
38,127.963
398,182.068
548,100.035
772,119.939
482,101.956
953,171.529
39,107.005
37,92.959
384,132.057
36,104.008
404,113.778
763,119.939
482,101.956
36,104.008
856,119.939
385,171.529
1023,105.256
341,181.995
443,127.998
36,191.772
370,107.005
390,127.978
706,119.81
367,107.005
435,109.904
449,171.529
38,100.015
36,191.772
772,119.939
411,127.998
390,127.978
647,132.057
404,113.778
647,132.057
355,105.256
38,93.989
370,107.005
492,105.256
38,100.015
393,124.071
37,125.966
39,107.005
446,128.062
36,108.944
856,119.939
962,114.923
494,119.939
456,129.899
856,119.939
370,107.005
492,105.256
38,127.963
523,171.529
492,105.256
37,114.011
38,93.989
37,129.991
37,90.005
493,119.81
37,124.039
1154,171.529
585,93.989
408,132.057
419,127.877
341,181.995
408,132.057
36,108.944
394,125.013
366,171.529
43,105.256
387,101.956
37,114.011
585,93.989
37,114.011
37,108.944
494,119.939
647,132.057
37,108.944
37,191.772
530,171.529
37,125.966
36,124.039
38,127.963
40,100.029
37,127.963
393,124.071
361,113.778
36,125.966
524,109.904
37,125.966
384,132.057
763,119.939
494,119.939
363,127.877
398,182.068
441,135.959
36,191.772
36,129.991
463,160.087
36,122.224
37,114.011
394,125.013
441,135.959
384,132.057
38,93.989
37,127.963
706,171.529
364,95.079
36,125.966
36,124.039
1023,105.256
36,129.991
36,108.944
460,171.529
647,132.057
706,119.81
411,127.998
36,129.991
482,101.956
524,109.904
370,107.005
38,127.963
523,171.529
37,124.039
133,100.035
36,104.008
456,129.899
341,181.995
356,171.529
404,113.778
356,171.529
1023,105.256
449,171.529
449,171.529
36,191.772
37,92.959
548,100.035
37,104.008
36,108.944
463,160.087
548,100.035
37,114.011
36,104.008
530,171.529
37,114.011
411,127.998
524,109.904
953,171.529
706,119.81
443,127.998
585,93.989
37,132.057
37,125.966
383,160.087
390,127.978
37,90.005
363,127.877
341,181.995
43,105.256
524,109.904
38,93.989
654,186.113
364,95.079
1154,171.529
39,107.005
36,104.008
1023,105.256
392,113.778
37,92.959
435,109.904
37,104.008
383,160.087
38,93.989
40,100.029
36,122.224
419,127.877
37,191.772
361,113.778
898,171.529
482,101.956
500,110.018
801,93.989
36,122.224
36,125.966
36,108.944
40,100.029
383,160.087
446,128.062
366,171.529
36,122.224
654,186.113
366,171.529
37,125.966
654,186.113
355,105.256
407,109.904
394,125.013
36,104.008
361,113.778
36,132.057
962,114.923
36,108.944
460,171.529
392,113.778
37,104.008
456,129.899
385,171.529
354,95.079
411,182.068
37,92.959
39,107.005
38,100.015
36,122.224
37,129.991
37,125.966
37,125.966
36,129.991
36,124.039
585,93.989
38,127.963
390,127.978
934,110.018
1154,171.529
